Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,Week52High,Week52Low,MovingAverage50Day,MovingAverage200Day,SharesOutstanding,DividendDate,ExDividendDate
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",https://www.apple.com,September,2024-12-31,3278873821000,137352004000,34.59,2.026,4.438,0.99,0.0046,6.31,25.97,0.243,0.345,0.225,1.365,395760009000,184102994000,6.31,0.101,0.04,252.59,7,21,13,2,2,34.59,29.76,8.29,49.12,8.39,24.19,1.178,259.81,163.31,231.92,228.35,15022100000,2025-02-13,2025-02-10
MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"ONE MICROSOFT WAY, REDMOND, WA, US",https://www.microsoft.com,June,2024-12-31,2908619014000,142041006000,31.55,1.789,40.71,3.16,0.0085,12.4,35.22,0.354,0.455,0.146,0.343,261802000000,181714993000,12.4,0.102,0.123,506.24,14,39,5,0,0,31.55,26.11,11.11,9.61,11.07,20.29,0.914,465.64,376.91,408.95,423.36,7433980000,2025-06-12,2025-05-15
NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2701 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, US",https://www.nvidia.com,January,2025-01-31,2871879795000,83316998000,40.03,1.135,3.241,0.034,0.0003,2.94,5.31,0.558,0.611,0.574,1.192,130497004000,97858003000,2.94,0.836,0.779,171.1,11,46,5,0,0,40.03,26.25,22.01,36.2,21.75,32.96,1.765,153.12,75.59,126.94,127.76,24399999000,2025-04-02,2025-03-12
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",https://www.aboutamazon.com,December,2024-12-31,2079374705000,120467997000,35.48,1.649,27.0,None,None,5.53,60.91,0.0929,0.113,0.0744,0.243,637959012000,311670997000,5.53,0.846,0.105,264.92,18,47,3,0,0,35.48,29.76,3.259,7.27,3.306,17.03,1.192,242.52,151.61,218.63,199.77,10597700000,None,None
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",https://abc.xyz,December,2024-12-31,2011458830000,129496998000,20.65,1.197,26.62,0.8,0.0048,8.05,28.41,0.286,0.34,0.167,0.329,350018011000,203712004000,8.05,0.309,0.118,219.18,15,38,12,0,0,20.65,18.69,5.75,6.23,5.55,14.34,1.025,208.46,147.86,184.46,176.8,5497000000,2025-03-17,2025-03-10
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",https://abc.xyz,December,2024-12-31,2011468530000,129496998000,20.4,1.181,26.62,0.8,0.0049,8.04,28.41,0.286,0.34,0.167,0.329,350018011000,203712004000,8.04,0.309,0.118,219.33,15,38,12,0,0,20.4,18.42,5.75,6.15,5.55,14.34,1.025,206.81,146.88,182.67,175.23,5833000000,2025-03-17,2025-03-10
META,Common Stock,Meta Platforms Inc.,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, PCs, virtual reality headsets, wearables and home devices around the world. The company is headquartered in Menlo Park, California.",1326801,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1601 WILLOW ROAD, MENLO PARK, CA, US",https://investor.atmeta.com,December,2024-12-31,1510694715000,83716997000,25,1.197,72.08,2,0.0035,23.85,64.92,0.379,0.453,0.169,0.371,164500996000,134371000000,23.85,0.514,0.206,765.07,12,44,7,0,2,25,23.47,9.18,8.27,9.01,17.06,1.231,740.25,412.99,652.93,573.15,2189900000,2025-03-26,2025-03-14
BRK-A,Common Stock,Berkshire Hathaway Inc,"Berkshire Hathaway Inc. is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States. The company wholly owns GEICO, Duracell, Dairy Queen, BNSF, Lubrizol, Fruit of the Loom, Helzberg Diamonds, Long & Foster, FlightSafety International, Pampered Chef, Forest River, and NetJets, and also owns 38.6% of Pilot Flying J; and significant minority holdings in public companies Kraft Heinz Company (26.7%), American Express (18.8%), The Coca-Cola Company (9.32%), Bank of America (11.9%), and Apple (6.3%).",1067983,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","3555 FARNAM STREET, OMAHA, NE, US",https://www.berkshirehathaway.com,December,2024-12-31,1125290869000,126590001000,12.63,9.68,451367.2,None,None,61909.06,258348.64,0.24,0.259,0.0639,0.146,371433013000,113735000000,61909.06,-0.474,0.016,758533.75,0,1,3,0,0,12.63,25.77,3.03,1.731,2.834,-,0.858,795671.16,596000,725510.06,684494.25,544950,None,None
BRK-B,Common Stock,Berkshire Hathaway Inc,"Berkshire Hathaway Inc. is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States. The company wholly owns GEICO, Duracell, Dairy Queen, BNSF, Lubrizol, Fruit of the Loom, Helzberg Diamonds, Long & Foster, FlightSafety International, Pampered Chef, Forest River, and NetJets, and also owns 38.6% of Pilot Flying J; and significant minority holdings in public companies Kraft Heinz Company (26.7%), American Express (18.8%), The Coca-Cola Company (9.32%), Bank of America (11.9%), and Apple (6.3%).",1067983,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","3555 FARNAM STREET, OMAHA, NE, US",https://www.berkshirehathaway.com,December,2024-12-31,1125290082000,126590001000,12.64,10.06,451367.2,None,None,41.28,258348.64,0.24,0.259,0.0639,0.146,371433013000,113735000000,41.28,-0.474,0.016,502,0,2,2,0,0,12.64,26.11,3.03,1.734,2.834,-,0.858,530.61,395.66,483.58,456.03,1339910000,None,None
TSM,Common Stock,Taiwan Semiconductor Manufacturing,"Taiwan Semiconductor Manufacturing Company, Limited is a Taiwanese multinational semiconductor contract manufacturing and design company. It is one of Taiwan's largest companies, the world's most valuable semiconductor company, and the world's largest dedicated independent (pure-play) semiconductor foundry, with its headquarters and main operations located in the Hsinchu Science Park in Hsinchu, Taiwan. It is majority owned by foreign investors.",1046179,NYSE,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"NO. 8, LI-HSIN ROAD 6, SCIENCE-BASED INDUSTRIAL PARK, HSINCHU, TW",https://www.tsmc.com,December,2024-12-31,916618936000,1976850448000,25.76,1.201,165.37,17,0.0155,6.86,69.77,0.405,0.49,0.135,0.3,2894307787000,1624353538000,6.86,0.57,0.388,247.07,3,14,1,0,0,25.76,20,0.317,7.06,8.21,11.43,1.255,225.52,124.04,195.67,184.88,5186550000,2025-07-10,2025-06-12
